KPI_ID,KPI_NAME,VALUE,PERIOD_START,PERIOD_END,REGION
MHS125,People Entering RTT Pathway,52,01/01/2026,31/03/2026,NHS FRIMLEY INTEGRATED CARE BOARD
MHS126,People Waiting,154,01/01/2026,31/03/2026,NHS FRIMLEY INTEGRATED CARE BOARD
MHS131,People Treated,20,01/01/2026,31/03/2026,NHS FRIMLEY INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,282,01/01/2026,31/03/2026,NHS FRIMLEY INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,54,01/01/2026,31/03/2026,NHS SUSSEX INTEGRATED CARE BOARD
MHS126,People Waiting,189,01/01/2026,31/03/2026,NHS SUSSEX INTEGRATED CARE BOARD
MHS131,People Treated,62,01/01/2026,31/03/2026,NHS SUSSEX INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,343,01/01/2026,31/03/2026,NHS SUSSEX INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,35,01/01/2026,31/03/2026,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
MHS126,People Waiting,178,01/01/2026,31/03/2026,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
MHS131,People Treated,32,01/01/2026,31/03/2026,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
MHS132,RTT Performance Percentage,415,01/01/2026,31/03/2026,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
MHS125,People Entering RTT Pathway,40,01/01/2026,31/03/2026,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
MHS126,People Waiting,168,01/01/2026,31/03/2026,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
MHS131,People Treated,4,01/01/2026,31/03/2026,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,122,01/01/2026,31/03/2026,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,40,01/01/2026,31/03/2026,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,179,01/01/2026,31/03/2026,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,7,01/01/2026,31/03/2026,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,143,01/01/2026,31/03/2026,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,37,01/01/2026,31/03/2026,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
MHS126,People Waiting,106,01/01/2026,31/03/2026,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
MHS131,People Treated,18,01/01/2026,31/03/2026,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
MHS132,RTT Performance Percentage,102,01/01/2026,31/03/2026,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
MHS125,People Entering RTT Pathway,36,01/01/2026,31/03/2026,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,113,01/01/2026,31/03/2026,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,22,01/01/2026,31/03/2026,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,170,01/01/2026,31/03/2026,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,53,01/01/2026,31/03/2026,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,141,01/01/2026,31/03/2026,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,49,01/01/2026,31/03/2026,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,643,01/01/2026,31/03/2026,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,41,01/01/2026,31/03/2026,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
MHS126,People Waiting,161,01/01/2026,31/03/2026,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
MHS131,People Treated,12,01/01/2026,31/03/2026,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,314,01/01/2026,31/03/2026,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,25,01/01/2026,31/03/2026,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
MHS126,People Waiting,113,01/01/2026,31/03/2026,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
MHS131,People Treated,7,01/01/2026,31/03/2026,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,150,01/01/2026,31/03/2026,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,39,01/01/2026,31/03/2026,NHS SOMERSET INTEGRATED CARE BOARD
MHS126,People Waiting,164,01/01/2026,31/03/2026,NHS SOMERSET INTEGRATED CARE BOARD
