Drug_Category,CCG_Region,Total_Items,Total_Cost,Average_Items
Anxiolytics,NHS TEES VALLEY,303688,1274714.62,5061.466666666666
Anxiolytics,NHS NORTH EAST ESSEX,302542,832441.71,5042.366666666667
Anxiolytics,NHS WIRRAL,268577,837511.93,4476.283333333334
Anxiolytics,NHS BRIGHTON AND HOVE,260624,456395.87,4343.733333333334
Anxiolytics,"NHS SHROPSHIRE, TELFORD AND WREKIN",260173,1119047.66,4336.216666666666
Anxiolytics,NHS WEST LEICESTERSHIRE,259186,830330.31,4319.766666666666
Anxiolytics,NHS NEWCASTLE GATESHEAD,258905,816256.7,4315.083333333333
Anxiolytics,NHS BRADFORD DISTRICT AND CRAVEN,252755,1147166.67,4212.583333333333
Anxiolytics,NHS COUNTY DURHAM,251741,769723.28,4195.683333333333
Anxiolytics,NHS ST HELENS,247080,1154498.68,4118.0
Anxiolytics,NHS LEEDS,246628,857484.93,4110.466666666666
Anxiolytics,NHS EAST AND NORTH HERTFORDSHIRE,242557,714912.12,4042.616666666667
Anxiolytics,NHS NORTH YORKSHIRE,220837,677724.02,3680.616666666667
Anxiolytics,NHS OXFORDSHIRE,218595,1043964.05,3643.25
Anxiolytics,NHS HERTS VALLEYS,216817,758980.51,3613.616666666667
Anxiolytics,NHS IPSWICH AND EAST SUFFOLK,214723,540816.77,3578.7166666666667
Anxiolytics,NHS MID ESSEX,209684,611059.25,3494.733333333333
Anxiolytics,NHS KIRKLEES,206328,754532.9,3438.8
Anxiolytics,NHS LEICESTER CITY,196279,748816.0,3271.3166666666666
Anxiolytics,NHS WAKEFIELD,187134,817288.53,3118.9
Anxiolytics,NHS STOCKPORT,181775,589828.99,3029.5833333333335
Anxiolytics,NHS BARNSLEY,176578,742212.02,2942.9666666666667
Anxiolytics,NHS WIGAN BOROUGH,175228,978724.4,2920.4666666666667
Anxiolytics,NHS EAST LEICESTERSHIRE AND RUTLAND,173292,634434.8,2888.2
Anxiolytics,NHS BUCKINGHAMSHIRE,172362,712308.84,2872.7
Anxiolytics,NHS MORECAMBE BAY,159588,600992.49,2659.8
Anxiolytics,NHS TAMESIDE AND GLOSSOP,156493,458390.68,2608.2166666666667
Anxiolytics,NHS STOKE ON TRENT,153009,539184.93,2550.15
Anxiolytics,NHS NORTHUMBERLAND,145837,518180.45,2430.616666666667
Anxiolytics,NHS EAST LANCASHIRE,144852,1037665.35,2414.2
Anxiolytics,NHS BERKSHIRE WEST,143694,491855.95,2394.9
Anxiolytics,NHS SOUTH SEFTON,137188,618987.59,2286.4666666666667
Anxiolytics,NHS THAMES VALLEY ICB - U2G6B,135611,652560.32,2260.1833333333334
Anxiolytics,NHS WARRINGTON,131621,741488.86,2193.6833333333334
Anxiolytics,NHS KNOWSLEY,128674,539743.5,2144.5666666666666
Anxiolytics,NHS ROTHERHAM,126575,472461.77,2109.5833333333335
Anxiolytics,NHS SUNDERLAND,123702,344759.63,2061.7
Anxiolytics,NHS NORTH STAFFORDSHIRE,123197,534956.59,2053.2833333333333
Anxiolytics,NHS WEST SUFFOLK,117498,303857.67,1958.3
Anxiolytics,NHS BLACKBURN WITH DARWEN,117222,448094.65,1953.7
Anxiolytics,NHS HALTON,117118,592219.44,1951.9666666666667
Anxiolytics,NHS EAST RIDING OF YORKSHIRE,114333,429907.89,1905.55
Anxiolytics,NHS WEST ESSEX,113074,329787.21,1884.5666666666666
Anxiolytics,NHS DONCASTER,112959,436203.77,1882.65
Anxiolytics,NHS NORTH TYNESIDE,112541,335103.7,1875.6833333333334
Anxiolytics,NHS NORTH CUMBRIA,110173,389860.71,1836.2166666666667
Anxiolytics,NHS HULL,109912,466006.68,1831.8666666666666
Anxiolytics,NHS TRAFFORD,109586,397405.16000000003,1826.4333333333334
Anxiolytics,NHS OLDHAM,105915,511682.24,1765.25
Anxiolytics,NHS PORTSMOUTH,105106,287850.46,1751.7666666666667
Anxiolytics,NHS SOUTHPORT AND FORMBY,100259,374160.48,1670.9833333333333
Anxiolytics,NHS SALFORD,98598,377967.18,1643.3
Anxiolytics,NHS BOLTON,98035,580213.4,1633.9166666666667
Anxiolytics,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,95936,451125.17,1598.9333333333334
Anxiolytics,NHS SOUTHEND,88751,215199.75,1479.1833333333334
Anxiolytics,NHS CALDERDALE,85327,276085.87,1422.1166666666666
Anxiolytics,NHS NORTH LINCOLNSHIRE,83915,332592.74,1398.5833333333333
Anxiolytics,NHS FYLDE AND WYRE,83122,319404.65,1385.3666666666666
Anxiolytics,NHS BASILDON AND BRENTWOOD,82474,229395.2,1374.5666666666666
Anxiolytics,NHS STAFFORD AND SURROUNDS,79052,334079.86,1317.5333333333333
Anxiolytics,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",75881,327384.31,1264.6833333333334
Anxiolytics,NHS CHORLEY AND SOUTH RIBBLE,75310,425025.54,1255.1666666666667
Anxiolytics,NHS BLACKPOOL,73193,279917.45,1219.8833333333334
Anxiolytics,NHS GREATER PRESTON,71515,420015.42,1191.9166666666667
Anxiolytics,NHS VALE OF YORK,70562,287195.23,1176.0333333333333
Anxiolytics,NHS CANNOCK CHASE,69137,405647.28,1152.2833333333333
Anxiolytics,NHS CASTLE POINT AND ROCHFORD,62332,245529.32,1038.8666666666666
Anxiolytics,NHS EAST STAFFORDSHIRE,61676,280148.13,1027.9333333333334
Anxiolytics,NHS SOUTH TYNESIDE,61091,257110.28,1018.1833333333333
Anxiolytics,NHS NORTH EAST LINCOLNSHIRE,60818,267670.71,1013.6333333333333
Anxiolytics,NHS BURY,59232,287225.07,987.2
Anxiolytics,NHS WEST LANCASHIRE,57111,315839.7,951.85
Anxiolytics,NHS BASSETLAW,52043,132454.22,867.3833333333333
Anxiolytics,NHS THURROCK,30594,109227.52,509.9
Anxiolytics,NHS FRIMLEY,14174,38773.95,236.23333333333332
Anxiolytics,NHS MEDWAY,0,0.0,0.0
