date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-05-01,03K,"NHS NORTH LINCOLNSHIRE",1370,6392.45,0,0
2021-05-01,02T,"NHS CALDERDALE",1434,4436.95,0,0
2021-05-01,02M,"NHS FYLDE AND WYRE",1481,6457.66,0,0
2021-05-01,99E,"NHS BASILDON AND BRENTWOOD",1556,4843.96,0,0
2021-05-01,05V,"NHS STAFFORD AND SURROUNDS",1575,6118.92,0,0
2021-05-01,01V,"NHS SOUTHPORT AND FORMBY",1655,5918.43,0,0
2021-05-01,01G,"NHS SALFORD",1673,6281.02,0,0
2021-05-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",1707,8744.82,0,0
2021-05-01,00T,"NHS BOLTON",1749,10909.47,0,0
2021-05-01,10R,"NHS PORTSMOUTH",1786,4953.28,0,0
2021-05-01,07H,"NHS WEST ESSEX",1800,4933.45,0,0
2021-05-01,99C,"NHS NORTH TYNESIDE",1823,5808.21,0,0
2021-05-01,00Y,"NHS OLDHAM",1833,9427.43,0,0
2021-05-01,01F,"NHS HALTON",1904,11256.62,0,0
2021-05-01,02A,"NHS TRAFFORD",1917,8292.48,0,0
2021-05-01,01H,"NHS NORTH CUMBRIA",1927,5876.59,0,0
2021-05-01,03L,"NHS ROTHERHAM",1981,10413.95,0,0
2021-05-01,02Y,"NHS EAST RIDING OF YORKSHIRE",1999,6847.8,0,0
2021-05-01,01J,"NHS KNOWSLEY",2011,9422.64,0,0
2021-05-01,02X,"NHS DONCASTER",2011,8706.44,0,0
2021-05-01,00Q,"NHS BLACKBURN WITH DARWEN",2042,7143.83,0,0
2021-05-01,07K,"NHS WEST SUFFOLK",2049,6049.69,0,0
2021-05-01,02E,"NHS WARRINGTON",2082,12821.93,0,0
2021-05-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",2106,8568.96,0,0
2021-05-01,03F,"NHS HULL",2110,9252.07,0,0
2021-05-01,05G,"NHS NORTH STAFFORDSHIRE",2117,8168.51,0,0
2021-05-01,01T,"NHS SOUTH SEFTON",2192,9557.06,0,0
2021-05-01,00P,"NHS SUNDERLAND",2368,6448.31,0,0
2021-05-01,00L,"NHS NORTHUMBERLAND",2452,9249.33,0,0
2021-05-01,01A,"NHS EAST LANCASHIRE",2523,18156.96,0,0
2021-05-01,01Y,"NHS TAMESIDE AND GLOSSOP",2562,9290.13,0,0
2021-05-01,15A,"NHS BERKSHIRE WEST",2603,8111.29,0,0
2021-05-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",2622,14231.72,0,0
2021-05-01,02P,"NHS BARNSLEY",2862,11918.06,0,0
2021-05-01,14Y,"NHS BUCKINGHAMSHIRE",2904,9227.43,0,0
2021-05-01,01K,"NHS MORECAMBE BAY",2905,10515.31,0,0
2021-05-01,05W,"NHS STOKE ON TRENT",2925,9812.38,0,0
2021-05-01,02H,"NHS WIGAN BOROUGH",2966,17517.89,0,0
2021-05-01,04C,"NHS LEICESTER CITY",3089,12181.13,0,0
2021-05-01,03R,"NHS WAKEFIELD",3150,16961.16,0,0
2021-05-01,01W,"NHS STOCKPORT",3176,9390.49,0,0
2021-05-01,X2C4Y,"NHS KIRKLEES",3532,12101.73,0,0
2021-05-01,06Q,"NHS MID ESSEX",3553,12576.01,0,0
2021-05-01,06L,"NHS IPSWICH AND EAST SUFFOLK",3622,11014.99,0,0
2021-05-01,06N,"NHS HERTS VALLEYS",3750,12265.3,0,0
2021-05-01,42D,"NHS NORTH YORKSHIRE",3843,12773.63,0,0
2021-05-01,10Q,"NHS OXFORDSHIRE",3879,15044.16,0,0
2021-05-01,04V,"NHS WEST LEICESTERSHIRE",4090,14748.38,0,0
2021-05-01,01X,"NHS ST HELENS",4110,17507.06,0,0
2021-05-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",4136,19386.76,0,0
2021-05-01,15F,"NHS LEEDS",4154,16077.19,0,0
2021-05-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",4260,13575.29,0,0
2021-05-01,12F,"NHS WIRRAL",4343,16934.08,0,0
2021-05-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",4395,19287.04,0,0
2021-05-01,09D,"NHS BRIGHTON AND HOVE",4439,8701.69,0,0
2021-05-01,13T,"NHS NEWCASTLE GATESHEAD",4527,16525.84,0,0
2021-05-01,84H,"NHS COUNTY DURHAM",4595,16343.55,0,0
2021-05-01,06T,"NHS NORTH EAST ESSEX",5062,17587.7,0,0
2021-05-01,03N,"NHS SHEFFIELD",5424,17839.99,0,0
2021-05-01,14L,"NHS MANCHESTER",5557,16867.34,0,0
2021-05-01,16C,"NHS TEES VALLEY",5601,23852.02,0,0
2021-05-01,11X,"NHS SOMERSET",5993,18521.48,0,0
2021-05-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",6208,29364.83,0,0
2021-05-01,27D,"NHS CHESHIRE",6237,24124.74,0,0
