date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-05-01,D2P2L,"NHS BLACK COUNTRY",122985,440166.1,0,0
2021-05-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",126216,421569.38,0,0
2021-05-01,71E,"NHS LINCOLNSHIRE",127935,391146.8,0,0
2021-05-01,15M,"NHS DERBY AND DERBYSHIRE",130906,453048.75,0,0
2021-05-01,W2U3Z,"NHS NORTH WEST LONDON",134872,479772.26,0,0
2021-05-01,A3A8R,"NHS NORTH EAST LONDON",137166,443710.29,0,0
2021-05-01,15N,"NHS DEVON",159580,548212.96,0,0
2021-05-01,26A,"NHS NORFOLK AND WAVENEY",167820,524448.55,0,0
2021-05-01,91Q,"NHS KENT AND MEDWAY",196160,716169.43,0,0
2021-05-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",202142,846122.11,0,0
2021-06-01,09W,"NHS MEDWAY",0,0,0,0
2021-06-01,D4U1Y,"NHS FRIMLEY",4782,17560.09,0,0
2021-06-01,02G,"NHS WEST LANCASHIRE",13755,45940.87,0,0
2021-06-01,05D,"NHS EAST STAFFORDSHIRE",16394,52825.18,0,0
2021-06-01,04Y,"NHS CANNOCK CHASE",17089,56446.03,0,0
2021-06-01,01V,"NHS SOUTHPORT AND FORMBY",17851,59715.53,0,0
2021-06-01,07G,"NHS THURROCK",17887,55968.87,0,0
2021-06-01,05V,"NHS STAFFORD AND SURROUNDS",17933,60110.76,0,0
2021-06-01,99F,"NHS CASTLE POINT AND ROCHFORD",19363,72226.97,0,0
2021-06-01,02Q,"NHS BASSETLAW",19867,56223.84,0,0
2021-06-01,01F,"NHS HALTON",20134,68573.96,0,0
2021-06-01,99G,"NHS SOUTHEND",21490,80307.45,0,0
2021-06-01,00Q,"NHS BLACKBURN WITH DARWEN",22366,66858.12,0,0
2021-06-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",24047,86843.41,0,0
2021-06-01,03H,"NHS NORTH EAST LINCOLNSHIRE",24869,62295.81,0,0
2021-06-01,00V,"NHS BURY",25331,98522.59,0,0
2021-06-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",25581,86514.52,0,0
2021-06-01,01T,"NHS SOUTH SEFTON",25924,88332.37,0,0
2021-06-01,02E,"NHS WARRINGTON",26856,98546.21,0,0
2021-06-01,03Q,"NHS VALE OF YORK",27634,87776.96,0,0
2021-06-01,01E,"NHS GREATER PRESTON",27700,83965.61,0,0
2021-06-01,10R,"NHS PORTSMOUTH",27784,104467.98,0,0
2021-06-01,03K,"NHS NORTH LINCOLNSHIRE",28087,81168.95,0,0
2021-06-01,01J,"NHS KNOWSLEY",28251,89859.85,0,0
2021-06-01,99E,"NHS BASILDON AND BRENTWOOD",29112,111029,0,0
2021-06-01,02M,"NHS FYLDE AND WYRE",29656,87684.36,0,0
2021-06-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",30033,119279.16,0,0
2021-06-01,05G,"NHS NORTH STAFFORDSHIRE",30461,102292.57,0,0
2021-06-01,02A,"NHS TRAFFORD",30482,99433.38,0,0
2021-06-01,00N,"NHS SOUTH TYNESIDE",31046,79199.55,0,0
2021-06-01,02T,"NHS CALDERDALE",31234,92392.23,0,0
2021-06-01,00Y,"NHS OLDHAM",31741,103976.02,0,0
2021-06-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",31881,103562.04,0,0
